"name","year","count"
"OLIVE","2015","53"
"NALA","2015","53"
"SIMBA","2015","53"
"TUCKER","2015","52"
"ANGEL","2015","52"
"DIESEL","2015","51"
"BROWNIE","2015","51"
"SNOOPY","2015","50"
"SANDY","2015","50"
"LAYLA","2015","49"
"ACE","2015","49"
"FLUFFY","2015","48"
"HUDSON","2015","48"
"MAYA","2015","48"
"GUS","2015","47"
"MADISON","2015","46"
"MURPHY","2015","46"
"HONEY","2015","46"
"CHESTER","2015","46"
"NINA","2015","46"
"MAXIMUS","2015","45"
"BAXTER","2015","45"
"HUNTER","2015","45"
"MIMI","2015","44"
"PEBBLES","2015","44"
"LILLY","2015","44"
"HAZEL","2015","42"
"PRECIOUS","2015","42"
"GEORGE","2015","42"
"LEXI","2015","42"
"RUSTY","2015","42"
"SPIKE","2015","41"
"ELLIE","2015","41"
"BANDIT","2015","41"
"ABBY","2015","41"
"BENNY","2015","41"
"CHASE","2015","40"
"HERSHEY","2015","40"
